Theme,Axe 1,Axe 2,Axe 3,Axe 4,Axe 5,Axe 6,Axe 7,Axe 8,Axe 9,Axe 10,Axe 11,Axe 12,Axe 13,Axe 14,Axe 15,Axe 16,Axe 17,Axe 18
Amour,0.36667434313728176,0.003255619447226985,0.02232362673204516,9.459457115188408e-05,1.0378651617871537,6.713623276368118,1.2994010091320416,0.9004234609006935,5.256961789243915,3.7895866466992256,1.414966481770903,3.7658428495305367,17.48957371018488,4.933653574486171,4.122917694031526,20.68371621553454,10.365793121040824,1.0932387196749598
Apprentissage,0.14313136591906783,5.751916202577993,36.08907546984033,0.4085446746251701,0.03138806539180908,2.254400193745117,14.236341475476861,21.757785014569382,0.10765686531385686,0.0018338542220237269,1.4418280087275996,5.172555254763718,3.8279222565529145,0.4172497985092263,0.03462862207489957,0.02591623260810792,2.5985109039400447,2.615615300613132
Argent,1.6420164062087577,1.718998491009007,0.0938880498163588,1.0520847518603544,0.12935903177921632,6.787093106406618,4.950577168734144,13.617877139873297,20.67618392383011,0.0472619259758845,3.9572399896072112,10.832900495208946,0.45682295480474555,5.6043870607099375,0.46555258083477963,21.135519379412663,0.08252650087273744,1.0228387963591887
Bonheur,0.08537920814019669,0.7349429565626534,2.4125564713757885,0.5110507223428106,6.216625046641358,0.9737060331342526,1.3899054372462492,8.052934396363739,1.3627226104683194,12.809606863201688,11.283061022706166,8.284355456115744,0.010734596611966987,11.709316189934809,14.434675756259525,15.46954238852024,0.06736811910174961,0.22675901602175164
Fantastique,0.7312525288268025,0.41226812017095243,1.6849403082967032,40.98806883744878,0.4485950106540046,1.4615145608316034,1.0588804499328435,0.001645325381182322,0.12242455247119255,3.1444714135147405,18.380477536704433,0.2319014420997569,0.8435187844655533,17.21819855901929,0.012165808589549134,1.0806633204761753,7.9421200540855805,2.4747788495858747
Femme,1.9190144860769507,0.4906658129988104,0.6373913516905125,8.144438602156903,0.5354383665336607,16.387703276505032,0.09368268904946715,1.1410574026574767,0.23719737227203616,3.9471652670719255,0.7105987827887444,1.8797867167840865,13.033628324464045,18.012904451603358,0.1794896912727565,0.6277548341246304,15.65197443956738,0.9516059297390334
Guerre,37.20347936541239,2.3156856869970106,0.06022300638838146,0.0006717994004354168,0.4598362379418434,0.822300655866899,3.6491101309306258,1.5251441865967061,3.082050319007137,0.34077901477492883,4.073078236276928,0.26460536488215275,6.770013224764748,0.6447307749112553,2.959800094721856,6.148865982056975,8.790031674799172,15.603250631935664
Intelligentsia,1.3382164672582926,5.757029687665152,14.101811127642016,20.194026668277186,1.7113102997927871,13.818614070037306,1.116180895728533,3.2967520880837506,3.737686943143946,1.0026272977423816,16.99874462739714,7.218286417208914,0.009242664330809681,1.7915854006178789,0.43816388043431714,2.1980530421494535,0.3177225568425287,0.9891881563966183
Liberté,0.014759370043976414,6.6521052241580305,0.3892190054469182,4.457733812249319,12.87624114805785,2.2168324426969166,3.4681451834253836,0.43558630711790797,2.2265584659111326,13.358108195333932,1.7641250365053256,6.842789624805448,0.5330853031698501,0.0858679190448126,22.138305708729696,2.2166923337986266,17.302088190859223,0.3785849224782012
Mort,0.448401444668269,0.02171690751183806,0.9438539401024725,0.5546840385581693,6.27111551108738,4.433938997080327,3.08644349935163,1.7009504958909512,1.7838002893647065,10.977410642139192,0.07710476020195546,0.3063415250295718,1.1548687065330518,13.400933293388587,20.360502929113654,0.49172552867514163,13.619277116607408,14.640058127999653
Nature,0.4480288446585107,3.803181590318905,6.607190928443024,0.23727177987161188,0.0012538111446781229,0.8831999725565014,4.373917100096735,2.241596480263539,19.544981649158203,6.119591426233416,0.0038420002308933673,27.178596257713682,17.581498588102047,0.14692557931698175,0.6668365258856512,2.226272098684765,0.4437847939755275,3.967801498455395
Noblesse,2.172696075576944,3.2769547627242206,0.2528644825609589,0.48882010037098944,4.22218650884566,2.1639907771160973,5.587178619801414,0.30211706133753946,10.068880456582145,9.219370273105119,12.291953249630328,9.641160234573027,22.47703775934064,0.012569279190757711,5.493771052824354,4.667125009346516,0.7253446208834952,1.2091074294937294
Occident,1.7046222904881947,3.687077360596475,8.057534860043356,0.08948425867942753,0.4066395640110222,14.864937173478628,1.4245038132960057,3.8593855887303268,4.820127666491178,0.023145000985010544,11.665007342344422,14.270490155843154,10.72461513055603,2.7199544589040414,6.646136668210515,10.03273558490818,1.0340134093975855,0.004831963785289371
Patrie,45.295527685412765,2.2481904170872857,0.05897130320956144,0.061047850855952934,4.529755807905427,0.3651618666226872,15.266271546720315,1.4779934668012864,0.5132178895228771,2.6043755096123244,2.798142656388779,0.00023316178922765555,3.0849495017470656,0.1284616662142317,1.3900397614533595,2.4241971603932124,6.887659308385496,8.663160268071795
