Author,Axe 1,Axe 2,Axe 3,Axe 4,Axe 5,Axe 6,Axe 7,Axe 8,Axe 9,Axe 10,Axe 11,Axe 12,Axe 13,Axe 14,Axe 15,Axe 16,Axe 17,Axe 18
A.OSTROVSKI,0.619695684643594,0.07745753748238933,1.0217754509377321,0.4290385959294986,0.11499108968534474,1.6039079422801608,4.8633792540645855,0.006705237770661553,6.3364301569183805,0.15769647263127748,0.04289546925642049,0.13445897216472832,0.8406939727024433,0.22866253992429053,0.20190428172122085,4.108189726330425,0.15970556230308405,0.1570795193651414
A.TOLSTOÏ,1.0676634995325698,1.3419814665396808,1.3911074746091558,0.9109401513735497,5.375364929793843,1.8638712978682759,3.7621958573170042,0.6421779690449326,5.418285263115393,0.6724705946129355,0.004632743097299599,1.5877687666154459,0.0576966630180801,0.06615558145154946,0.3502876996304544,4.601561713302535,7.554981400429569,0.4366378979364811
AKSAKOV,0.7316637556525477,2.9757010217536237,12.766188966616776,0.003987661140633395,0.11604324906481939,1.6223038630966087,0.003911399302604189,0.13848295789496357,5.884606754339856,0.19542058662791323,0.013785353281556455,7.221255171376568,0.42079575173825684,0.2833647778328239,0.8168749421773008,0.03878764218538155,0.7137780738262518,0.3185663528774196
AVVAKUM,0.12010950733945586,4.474322386958529,4.224658532200023,0.8750210065986667,0.6435772043464216,11.424892403877212,2.8803040191024674,8.646080706913986,2.4220110738866643,4.7237389098774205,0.06670729085047732,0.3082557761444232,0.12146994223620532,0.00025507246871094214,7.898023146148223,0.8681575913822456,2.0201747320648824,1.2848092561607711
AÏTMATOV,0.44631951197661,2.3819183963695725,18.090101402962443,0.016148099480887284,0.057052048574029374,0.9728252791639721,0.5495473425303993,0.05035211312258159,2.259189942775956,0.7578853671508432,2.2364708161625955,2.378242166528393,4.508247745364488,0.4725590798492356,0.5827570904241748,4.341967593898028,3.4708954013535918,0.3846250239121753
BABEL,3.703987429856682,0.5980021783466847,0.08605966763216791,0.29197204550762756,8.473446289981819,0.5477361823077221,3.712509061950077,5.690596116415818,2.119671372623653,1.4299897824066463,6.366423738951868,0.2429257819241054,1.9308953578730477,0.013861289398831664,1.0723769331059396,2.692713886666093,0.383458026344173,2.6415744655498
BERGHOLTS,17.000648131481373,0.37811989950506125,4.695764039409524e-07,0.11341240542893638,0.2238980712514549,0.0011886948982218807,2.8258596644459915,2.6702702444687607,3.665205204925883,0.07534432267635288,1.6698278756727833,0.059969852056902695,0.04274433868506277,0.2089137286047661,0.32635895162397327,0.10801411558477836,0.7830264440532232,0.09773132738245406
BIELY,0.36433082771318565,0.9953222047359905,3.0468636687899635,20.51206115092074,6.684826232654946,5.20939948607812,0.7669588137226362,0.16068969370606903,0.18897615032985862,5.657163466427248,0.033933772629858805,6.922163250245764,1.0468671969496606,1.5596550781594698,3.2750866982795652,0.12506938041782475,2.116621092238511,2.1775930933035026
BLOK,0.6177470363253835,2.481975312371395,6.058417119072158,4.072568446017566,0.09220473831133535,13.474052955130066,0.00481932695063528,4.319867810920173,0.024919975134173277,0.5963277934512387,0.234757489877369,0.6515723223334314,8.035533120698263,0.0881075248971824,4.727907423080022,4.541315906383084,0.48321124095918755,2.4807845102568167
BOUNINE,0.26116431255958295,0.16245814833532232,0.17522521516058387,0.2117175768605629,0.5172891675261286,4.317871696850699,2.1357307507713643,1.1456069363657286,4.408842831041374,6.633866859364092,0.047104542934707526,3.2192565867571528,5.6149056526748495,0.16088256618263416,2.8801794496438613,0.5279423514294751,4.357811428724712,0.006572160181989848
CHOLOKHOV,1.2900934085360818,0.20074207700673297,0.08708647496541637,0.0022439770063597568,4.073880837532153,0.37511531551524413,2.2667488082811236,2.9510303293478457,1.9583732560147176,0.6677025232759749,3.450243295642333,0.259435499399632,0.7286153878973862,4.41284735706015,0.012477141379007588,0.21145138374949515,0.001491751174407065,0.00347194334767433
