Theme,Contribution axe 1,Contribution axe 2,Contribution plan 1-2,Cos2 axe 1,Cos2 axe 2,Cos2 plan 1-2
Guerre,37.20347936541239,2.3156856869970106,22.072191854986983,0.8098173565225598,0.0386054725520281,0.848422829074588
Patrie,45.295527685412765,2.2481904170872857,26.62534054863569,0.7718709485663365,0.0293418980124853,0.8012128465788219
Société,2.531028973670721,32.33312631671082,15.456584182689795,0.0542783862981692,0.5310595813665242,0.5853379676646935
Souffrance,0.0892416450556805,29.84377362174751,12.99416713926996,0.00208333174391,0.5335932658265419,0.5356765975704519
